county,n_crimes_2015,anti_refugee_violence_2015,anti_refugee_violence_crimeratio,anti_refugee_violence_popratio
01001,10828,2,0.18470631695604,0.232828870779977
01002,26078,4,0.153385995858578,0.162403572878603
01003,22881,6,0.26222630129802,0.277392510402219
01004,17418,1,0.0574118727752899,0.126262626262626
01051,7345,1,0.136147038801906,0.0752445447705041
01053,10615,3,0.282618935468676,0.155440414507772
01054,8938,1,0.111881852763482,0.0609756097560976
01055,13543,1,0.0738388835560806,0.0501002004008016
01056,19779,1,0.0505586733404116,0.032520325203252
01057,5850,1,0.170940170940171,0.0779423226812159
01058,13195,3,0.227358848048503,0.11094674556213
01059,9721,1,0.102870075095155,0.0508130081300813
01060,15252,1,0.0655651717807501,0.0373831775700935
01061,7380,0,0,0
01062,13775,3,0.217785843920145,0.125208681135225
02000,243313,24,0.0986383793714269,0.134273246055723
03101,25497,0,0,0
03102,6379,0,0,0
03103,9606,0,0,0
03151,7756,1,0.128932439401753,0.0574052812858783
03153,9687,3,0.309693403530505,0.217076700434153
03154,5949,0,0,0
03155,7589,1,0.131769666622743,0.0741289844329133
03157,6547,2,0.305483427524057,0.151171579743008
03158,4841,3,0.61970667217517,0.247933884297521
03159,25827,0,0,0
03241,121119,17,0.140357829902823,0.148536478811708
03251,11834,5,0.422511407808011,0.233644859813084
03252,9560,1,0.104602510460251,0.0674308833445718
03254,17443,1,0.0573295878002637,0.0360880548538434
03255,3643,0,0,0
03256,6345,0,0,0
03257,9520,1,0.105042016806723,0.0640204865556978
03351,13279,3,0.225920626553204,0.168539325842697
03352,10404,2,0.192233756247597,0.100959111559818
03353,14639,13,0.888038800464513,0.523982265215639
03354,2785,1,0.359066427289048,0.199600798403194
03355,13130,4,0.304645849200305,0.221361372440509
03356,6207,1,0.161108425970678,0.0880281690140845
03357,10205,1,0.0979911807937286,0.0612369871402327
03358,11248,3,0.266714082503556,0.213827512473272
03359,11825,6,0.507399577167019,0.299850074962519
03360,6066,2,0.329706561160567,0.214822771213749
03361,8690,4,0.46029919447641,0.297176820208024
03401,6609,0,0,0
03402,4598,0,0,0
03403,14598,2,0.13700506918756,0.122100122100122
03404,17756,0,0,0
03405,10180,1,0.0982318271119843,0.131578947368421
03451,5013,0,0,0
03452,11174,5,0.447467334884553,0.264270613107822
03453,7787,1,0.128419160138693,0.0607164541590771
03454,18328,2,0.109122653862942,0.0625978090766823
03455,5612,1,0.178189593727726,0.102145045965271
03456,8309,0,0,0
03457,9934,0,0,0
03458,6341,0,0,0
03459,23864,1,0.0419041233657392,0.0279251605696733
03460,7214,1,0.138619351261436,0.0725163161711385
03461,4967,0,0,0
03462,3306,1,0.302480338777979,0.174825174825175
04011,76978,2,0.0259814492452389,0.0358744394618834
04012,14091,0,0,0
05111,84260,3,0.0356040826014716,0.0490035935968638
05112,55604,4,0.0719372706999497,0.0814332247557003
05113,66407,7,0.105410574186456,0.120151047030553
05114,22965,2,0.0870890485521446,0.0888494002665482
05116,23515,3,0.127578141611737,0.115384615384615
05117,14518,2,0.137760022041604,0.118133490844654
05119,18936,3,0.158428390367554,0.142247510668563
05120,7849,4,0.509619059752835,0.365296803652968
05122,11408,2,0.17531556802244,0.126023944549464
05124,37068,7,0.188842127981008,0.2
05154,24242,3,0.123752165662899,0.0966806316467934
05158,32491,7,0.215444276876674,0.144837575005173
05162,30788,7,0.227361309601143,0.155555555555556
05166,18648,2,0.107250107250107,0.0671817265703729
05170,30240,5,0.165343915343915,0.108061378863194
05314,36022,0,0,0
05315,155510,8,0.0514436370651405,0.0754290024514426
05316,13958,0,0,0
05334,56158,5,0.0890345097759892,0.090269001624842
05358,18642,3,0.160926939169617,0.114155251141553
05362,35620,6,0.168444693992139,0.128562245553889
05366,11441,1,0.087404947120007,0.0523012552301255
05370,17671,3,0.169769679135306,0.118811881188119
05374,12768,6,0.469924812030075,0.219378427787934
05378,14564,1,0.068662455369404,0.0353731871241599
05382,34046,8,0.234976208658873,0.134183160013418
05512,8836,0,0,0
05513,26428,1,0.0378386559709399,0.0384024577572965
05515,29833,3,0.100559782790869,0.0967741935483871
05554,24423,8,0.327560086803423,0.216391668920747
05558,13739,2,0.145571002256351,0.0915750915750916
05562,48407,12,0.247898031276468,0.194237617351894
05566,26226,4,0.152520399603447,0.09021199819576
05570,14577,5,0.343006105508678,0.180245133381399
05711,28029,0,0,0
05754,18588,9,0.484183344092963,0.249584026622296
05758,12340,3,0.243111831442464,0.119000396667989
05762,6882,2,0.290613193839,0.138888888888889
05766,15026,5,0.33275655530414,0.142531356898518
05770,15929,8,0.502228639588173,0.255509421909933
05774,18143,1,0.0551176762387698,0.0328623069339468
05911,38044,9,0.236568184207759,0.246778173841514
05913,83586,21,0.251238245639222,0.358239508700102
05914,17126,7,0.408735256335396,0.37037037037037
05915,15204,3,0.197316495659037,0.167224080267559
05916,15579,2,0.128377944669106,0.128287363694676
05954,20841,8,0.383858739983686,0.245398773006135
05958,12744,1,0.0784682988072819,0.0379075056861259
05962,25516,5,0.195955478915191,0.12013455069678
05966,6457,2,0.309741365959424,0.146627565982405
05970,17852,3,0.168048397938606,0.106837606837607
05974,17508,3,0.171350239890336,0.099009900990099
05978,28646,10,0.349088878028346,0.252525252525253
06411,11827,1,0.0845522955948254,0.0643500643500644
06412,118766,2,0.016839836316791,0.0272963013511669
06413,12849,0,0,0
06414,24194,0,0,0
06431,10484,1,0.095383441434567,0.0374672161858374
06432,9918,0,0,0
06433,11308,0,0,0
06434,11263,0,0,0
06435,19252,0,0,0
06436,11691,4,0.342143529210504,0.171821305841924
06437,2502,0,0,0
06438,17039,0,0,0
06439,5980,2,0.334448160535117,0.108636610537751
06440,12510,0,0,0
06531,25010,2,0.079968012794882,0.0761904761904762
06532,9838,0,0,0
06533,8599,3,0.348877776485638,0.174520069808028
06534,10495,4,0.381133873272987,0.163132137030995
06535,3801,5,1.31544330439358,0.465983224603914
06611,20931,0,0,0
06631,9140,8,0.87527352297593,0.36347114947751
06632,5352,0,0,0
06633,7276,3,0.412314458493678,0.127226463104326
06634,6754,0,0,0
06635,5392,0,0,0
06636,4566,2,0.438020148926851,0.198609731876862
07111,13758,2,0.145369966564908,0.177619893428064
07131,8958,1,0.111632060727841,0.0782472613458529
07132,7752,2,0.257997936016512,0.154798761609907
07133,10969,1,0.0911660133102379,0.0637755102040816
07134,4485,1,0.222965440356745,0.124069478908189
07135,2811,1,0.355745286374956,0.16025641025641
07137,11255,0,0,0
07138,11194,1,0.0893335715561908,0.0553403431101273
07140,5946,1,0.168180289270098,0.0975609756097561
07141,5789,0,0,0
07143,8957,1,0.111644523836106,0.0499251123315028
07211,17870,3,0.167879127028539,0.261096605744125
07231,5500,5,0.909090909090909,0.447227191413238
07232,4714,2,0.424268137462876,0.205761316872428
07233,2959,0,0,0
07235,5585,0,0,0
07311,4238,1,0.235960358659745,0.206611570247934
07312,12857,0,0,0
07313,4468,0,0,0
07314,17655,5,0.283205890682526,0.303582270795386
07315,20810,1,0.0480538202787122,0.0476644423260248
07316,4258,1,0.234852043212776,0.188679245283019
07317,4011,0,0,0
07318,4960,0,0,0
07319,8019,1,0.124703828407532,0.121802679658953
07320,2533,1,0.394788787998421,0.291545189504373
07331,6184,0,0,0
07332,7305,2,0.27378507871321,0.151285930408472
07333,3895,1,0.256739409499358,0.132978723404255
07334,7089,0,0,0
07335,4832,0,0,0
07336,3153,2,0.634316523945449,0.28169014084507
07337,5127,2,0.390091671542813,0.180995475113122
07338,7311,1,0.136780194227876,0.066006600660066
07339,12270,0,0,0
07340,3021,0,0,0
08111,66450,1,0.0150489089541008,0.0160333493666827
08115,16921,4,0.236392648188641,0.1049042748492
08116,23893,2,0.0837065249236178,0.0381606563632894
08117,9187,2,0.217698922390334,0.0791452314998021
08118,24106,4,0.165933792416826,0.0748923422580041
08119,21116,10,0.473574540632696,0.238379022646007
08121,9102,2,0.219731927049,0.163132137030995
08125,11345,3,0.264433671220802,0.0897129186602871
08126,4299,0,0,0
08127,7626,1,0.1311303435615,0.0521920668058455
08128,5121,3,0.585823081429408,0.226928895612708
08135,5231,2,0.382336073408526,0.153256704980843
08136,13908,3,0.215703192407248,0.0959385992964503
08211,4630,0,0,0
08212,33323,0,0,0
08215,16803,3,0.178539546509552,0.0688389169343736
08216,10943,3,0.274147857077584,0.131868131868132
08221,15194,0,0,0
08222,34943,0,0,0
08225,4655,0,0,0
08226,24053,2,0.0831497110547541,0.0369071784462078
08231,9751,0,0,0
08235,4928,1,0.202922077922078,0.0643500643500644
08236,5846,4,0.684228532329798,0.203977562468129
08237,4358,0,0,0
08311,29545,0,0,0
08315,12606,2,0.158654608916389,0.0777302759424796
08316,6450,2,0.310077519379845,0.123380629241209
08317,27228,1,0.036726898780667,0.0238038562247084
08325,4803,0,0,0
08326,8786,1,0.113817436831323,0.0477099236641221
08327,6081,1,0.164446637066272,0.0732064421669107
08335,18944,3,0.158361486486487,0.107028184088477
08336,20698,2,0.0966276934969562,0.0882223202470225
08337,7491,3,0.40048057669203,0.178677784395473
08415,12769,2,0.156629336674759,0.0708968450903935
08416,9833,0,0,0
08417,7676,1,0.130276185513288,0.0530222693531283
08421,12151,0,0,0
08425,7616,1,0.131302521008403,0.0520562207183759
08426,6747,4,0.592856084185564,0.206185567010309
08435,9960,1,0.100401606425703,0.0471253534401508
08436,13445,1,0.0743770918557084,0.0358037952022914
08437,5079,2,0.393778302815515,0.152905198776758
09161,10687,1,0.0935716290820623,0.0755287009063444
09162,133672,15,0.112214973966126,0.103419746276889
09163,5654,1,0.176865935620799,0.161812297734628
09171,5476,3,0.547845142439737,0.276497695852535
09172,27810,0,0,0
09173,4119,3,0.728332119446468,0.240192153722978
09174,5306,0,0,0
09175,4231,1,0.236350744504845,0.0727802037845706
09176,3049,2,0.655952771400459,0.15527950310559
09177,5677,1,0.17614937466972,0.074794315632012
09178,10456,1,0.0956388676358072,0.0577367205542725
09179,7234,1,0.138236107271219,0.0468384074941452
09180,4102,0,0,0
09181,3986,1,0.250878073256397,0.0849617672047579
09182,3666,0,0,0
09183,4127,1,0.242306760358614,0.0892857142857143
09184,11703,1,0.0854481756814492,0.0294117647058824
09185,3359,1,0.297707651086633,0.105596620908131
09186,4424,2,0.452079566003617,0.16116035455278
09187,31449,3,0.0953925403033483,0.117141741507224
09188,4623,1,0.216309755569976,0.0748502994011976
09189,7343,1,0.136184120931499,0.0574052812858783
09190,4600,2,0.434782608695652,0.150489089541008
09261,7734,0,0,0
09262,18818,0,0,0
09263,3890,0,0,0
09271,19335,1,0.0517196793379881,0.0857632933104631
09272,2130,1,0.469483568075117,0.128040973111396
09273,3625,2,0.551724137931035,0.168067226890756
09274,4361,0,0,0
09275,44925,1,0.0222593210907067,0.0531067445565587
09276,2299,1,0.434971726837756,0.130208333333333
09277,10640,1,0.093984962406015,0.0838926174496644
09278,3006,0,0,0
09279,3119,1,0.320615581917281,0.106269925611052
09361,2961,1,0.337723741979061,0.238663484486874
09362,19305,1,0.0518000518000518,0.0687285223367698
09363,4048,0,0,0
09371,2676,0,0,0
09372,3922,1,0.254971953085161,0.0791139240506329
09373,4330,1,0.23094688221709,0.0766871165644172
09374,4332,2,0.461680517082179,0.210304942166141
09375,4757,2,0.420433046037419,0.105596620908131
09376,5204,2,0.384319754035357,0.138026224982747
09377,2454,1,0.407497962510187,0.136425648021828
09461,6314,3,0.475134621476085,0.409276944065484
09462,5563,0,0,0
09463,3435,0,0,0
09464,4562,1,0.219202104340202,0.223713646532438
09471,3929,3,0.763553066938152,0.206043956043956
09472,3142,1,0.318268618714195,0.0958772770853308
09473,3094,2,0.646412411118294,0.23094688221709
09474,3663,3,0.819000819000819,0.261324041811847
09475,5386,2,0.371333085777943,0.20746887966805
09476,2533,0,0,0
09477,2685,0,0,0
09478,2940,0,0,0
09479,4365,1,0.229095074455899,0.136612021857923
09561,3130,0,0,0
09562,6420,1,0.155763239875389,0.0923361034164358
09563,6035,1,0.165700082850041,0.0805152979066023
09564,48359,5,0.103393370417089,0.0980392156862745
09565,1889,0,0,0
09571,5713,0,0,0
09572,3681,1,0.271665308340125,0.0745712155108128
09573,2892,0,0,0
09574,6083,1,0.164392569455861,0.0596658711217184
09575,2868,1,0.348675034867504,0.101214574898785
09576,3918,0,0,0
09577,3468,0,0,0
09661,5972,0,0,0
09662,12851,1,0.0778149560345498,0.192307692307692
09663,12126,0,0,0
09671,4813,1,0.207770621234158,0.0575705238917674
09672,3471,0,0,0
09673,2642,1,0.378501135503407,0.125470514429109
09674,2766,0,0,0
09675,3499,2,0.571591883395256,0.223964165733483
09676,4031,0,0,0
09677,3873,0,0,0
09678,2744,0,0,0
09679,3781,1,0.264480296217932,0.0623441396508728
09761,25659,0,0,0
09762,2565,0,0,0
09763,4313,1,0.231857175979597,0.149476831091181
09764,3090,0,0,0
09771,3813,0,0,0
09772,8054,2,0.248323814253787,0.0814332247557003
09773,3770,2,0.530503978779841,0.211416490486258
09774,5479,1,0.182515057492243,0.0811688311688312
09775,8551,0,0,0
09776,4143,0,0,0
09777,4535,5,1.10253583241455,0.363108206245461
09778,3962,2,0.504795557799091,0.142450142450142
09779,4968,1,0.201288244766506,0.0761614623000762
09780,4827,1,0.207168013258753,0.0654878847413229
10041,33230,1,0.0300932891965092,0.030543677458766
10042,5654,2,0.353731871241599,0.192307692307692
10043,7428,0,0,0
10044,18105,2,0.110466721900028,0.101522842639594
10045,7656,1,0.130616509926855,0.0691562932226833
10046,3292,0,0,0
11000,569550,132,0.231761917303134,0.375
12051,8763,2,0.228232340522652,0.279329608938548
12052,10741,13,1.21031561307141,1.30391173520562
12053,6080,8,1.31578947368421,1.37693631669535
12054,17425,3,0.172166427546628,0.178890876565295
12060,12119,4,0.330060235993069,0.225479143179256
12061,13692,5,0.365176745544844,0.303951367781155
12062,6305,0,0,0
12063,10866,11,1.01233204491073,0.695322376738306
12064,12382,10,0.807623970279438,0.524383848977451
12065,13023,5,0.383936113030792,0.240963855421687
12066,9566,2,0.209073803052478,0.177777777777778
12067,12899,5,0.387626947825413,0.274122807017544
12068,7462,4,0.536049316537121,0.403632694248234
12069,12851,1,0.0778149560345498,0.0474158368895211
12070,5035,5,0.99304865938431,0.644329896907217
12071,8097,14,1.72903544522663,1.19047619047619
12072,11495,8,0.695954762940409,0.488997555012225
12073,9002,15,1.66629637858254,1.2396694214876
13003,20022,4,0.199780241734093,0.194174757281553
13004,9650,7,0.725388601036269,0.723140495867769
13071,16734,7,0.418310027488945,0.266666666666667
13072,11403,18,1.5785319652723,0.843091334894614
13073,15032,14,0.931346460883449,0.622775800711744
13074,9966,16,1.60545855910094,1.02367242482406
13075,16403,22,1.34121806986527,0.922818791946309
13076,17382,5,0.287653894833736,0.233535730966838
14511,27791,15,0.539743082292829,0.603378921962993
14521,12811,46,3.59066427289048,1.32297958009779
14522,14704,32,2.17627856365615,1.024
14523,13609,12,0.881769417297377,0.516573396470082
14524,17957,17,0.946706019936515,0.523882896764253
14612,56555,72,1.27309698523561,1.32401618242001
14625,16016,15,0.936563436563437,0.48971596474045
14626,22963,7,0.304838218002874,0.269230769230769
14627,12920,16,1.23839009287926,0.65252854812398
14628,17777,72,4.05017719525229,2.91026677445432
14713,73614,13,0.176596842991822,0.231935771632471
14729,15847,22,1.38827538335332,0.851393188854489
14730,12212,14,1.14641336390436,0.708502024291498
15001,10036,1,0.0996412913511359,0.120627261761158
15002,32885,8,0.24327200851452,0.337552742616034
15003,28440,13,0.457102672292546,0.551548578701739
15081,5031,1,0.198767640628106,0.116009280742459
15082,13288,0,0,0
15083,10209,11,1.07748065432462,0.634005763688761
15084,14968,13,0.86851950828434,0.706137968495383
15085,19319,6,0.310575081525959,0.2710027100271
15086,6924,4,0.577700751010976,0.436205016357688
15087,10419,6,0.575871004894904,0.424328147100424
15088,15024,15,0.998402555910543,0.804721030042918
15089,13034,2,0.153444836581249,0.101677681748856
15090,8334,2,0.239980801535877,0.173460537727667
15091,9928,5,0.503626107977437,0.389408099688474
16051,21005,5,0.238038562247084,0.237981913374584
16052,9826,10,1.01770812131081,1.04166666666667
16053,7046,5,0.709622480840193,0.45662100456621
16054,3937,3,0.762001524003048,0.769230769230769
16055,6247,3,0.48023051064511,0.46801872074883
16061,4051,5,1.23426314490249,0.493583415597236
16062,5694,5,0.878117316473481,0.585480093676815
16063,8776,9,1.02552415679125,0.546448087431694
16064,5814,4,0.687994496044032,0.379867046533713
16065,4287,6,1.39958012596221,0.778210116731518
16066,6222,1,0.160720025715204,0.0781860828772479
16067,7945,11,1.38451856513531,0.804093567251462
16068,3622,3,0.82827167310878,0.424929178470255
16069,2735,4,1.46252285191956,0.62015503875969
16070,6284,5,0.795671546785487,0.465549348230913
16071,3975,2,0.50314465408805,0.243605359317905
16072,3208,3,0.935162094763092,0.508474576271186
16073,6596,7,1.06124924196483,0.654205607476636
16074,4561,3,0.65775049331287,0.348027842227378
16075,4719,4,0.847637211273575,0.481927710843373
16076,4866,3,0.61652281134402,0.29673590504451
16077,7399,2,0.270306798215975,0.216684723726977
